crime_date_time,location,district,neighborhood,premise,year,month,date,time_range,quarter,longitude,latitude,victims,average_age,juvenile_victims,id,near_western_near,geometry,color
2022-08-12T04:44:00Z,600 S Smallwood St,Southwestern,Carrollton Ridge,Street,2022,8,2022-08-12,Morning,3,-76.6505,39.2806,1,54,0,6272,TRUE,"c(-76.6505, 39.2806)",#0065d1
2022-08-13T18:00:00Z,200 S Stricker St,Southern,New Southwest/Mount Clare,Street,2022,8,2022-08-13,Evening,3,-76.6408,39.2854,1,17,1,6276,TRUE,"c(-76.6408, 39.2854)",#d25a3f
2022-08-13T23:28:23Z,1200 W Lombard St,Southern,Hollins Market,Alley,2022,8,2022-08-13,Night,3,-76.6367,39.2867,1,34,0,6278,TRUE,"c(-76.6367, 39.2867)",#d25a3f
2022-08-15T00:49:11Z,300 Park Ave,Central,Downtown,Common Business,2022,8,2022-08-15,Early Morning,3,-76.6182,39.2934,1,35,0,6281,TRUE,"c(-76.6182, 39.2934)",#00d3ff
2022-08-19T19:44:32Z,2200 Christian St,Southwestern,Carrollton Ridge,Street,2022,8,2022-08-19,Evening,3,-76.651,39.2814,1,22,0,6289,TRUE,"c(-76.651, 39.2814)",#0065d1
2022-08-19T20:14:34Z,2900 Reisterstown Rd,Northwestern,Liberty Square,Street,2022,8,2022-08-19,Night,3,-76.6545,39.3209,1,23,0,6290,TRUE,"c(-76.6545, 39.3209)",#ff9200
2022-08-20T00:39:25Z,2300 Ashton St,Southwestern,Millhill,Street,2022,8,2022-08-20,Early Morning,3,-76.6526,39.2815,1,38,0,6291,TRUE,"c(-76.6526, 39.2815)",#0065d1
2022-08-22T23:49:32Z,1200 Washington Blvd,Southern,Washington Village/Pigtown,Dwelling,2022,8,2022-08-22,Night,3,-76.6344,39.2814,1,57,0,6299,TRUE,"c(-76.6344, 39.2814)",#d25a3f
2022-08-29T23:32:18Z,1400 W Ostend St,Southern,Washington Village/Pigtown,Public Area,2022,8,2022-08-29,Night,3,-76.635,39.2826,2,40,0,6318,TRUE,"c(-76.635, 39.2826)",#d25a3f
2022-08-31T15:22:12Z,2600 Wilkens Ave,Southwestern,Millhill,Street,2022,8,2022-08-31,After School,3,-76.6561,39.279,1,39,0,6322,TRUE,"c(-76.6561, 39.279)",#0065d1
2022-09-01T22:27:23Z,2500 Hollins St,Southwestern,Shipley Hill,Vehicle,2022,9,2022-09-01,Night,3,-76.6582,39.2867,1,28,0,6326,TRUE,"c(-76.6582, 39.2867)",#0065d1
2022-09-05T00:22:24Z,0 S Greene St,Central,University Of Maryland,Street,2022,9,2022-09-05,Early Morning,3,-76.6237,39.2884,1,31,0,6328,TRUE,"c(-76.6237, 39.2884)",#00d3ff
2022-09-07T11:30:57Z,2000 N Longwood St,Southwestern,Walbrook,Street,2022,9,2022-09-07,Morning,3,-76.6677,39.3102,1,32,0,6333,TRUE,"c(-76.6677, 39.3102)",#0065d1
2022-09-09T23:56:09Z,400 N Franklintown Rd,Southwestern,Penrose/Fayette Street Outreach,Street,2022,9,2022-09-09,Night,3,-76.6623,39.2928,1,21,0,6339,TRUE,"c(-76.6623, 39.2928)",#0065d1
2022-09-11T12:35:37Z,2600 Frederick Ave,Southwestern,Shipley Hill,Vehicle,2022,9,2022-09-11,Early Afternoon,3,-76.6574,39.2825,1,38,0,6343,TRUE,"c(-76.6574, 39.2825)",#0065d1
2022-09-14T07:39:00Z,1300 Poplar Grove St,Southwestern,Winchester,Alley,2022,9,2022-09-14,Morning,3,-76.6654,39.3022,1,35,0,6347,TRUE,"c(-76.6654, 39.3022)",#0065d1
2022-09-14T21:19:50Z,3000 W North Ave,Southwestern,Walbrook,Public Housing,2022,9,2022-09-14,Night,3,-76.6684,39.3091,1,23,0,6349,TRUE,"c(-76.6684, 39.3091)",#0065d1
2022-09-15T20:07:57Z,1700 Mcculloh St,Central,Upton,Street,2022,9,2022-09-15,Night,3,-76.6318,39.3057,2,31,0,6350,TRUE,"c(-76.6318, 39.3057)",#00d3ff
2022-09-17T17:59:00Z,1500 Pennsylvania Ave,Central,Upton,Hospital,2022,9,2022-09-17,Evening,3,-76.6328,39.3019,1,26,0,6356,TRUE,"c(-76.6328, 39.3019)",#00d3ff
2022-10-06T15:49:11Z,300 W Lexington St,Central,Downtown,Street,2022,10,2022-10-06,After School,4,-76.6196,39.2916,1,23,0,6384,TRUE,"c(-76.6196, 39.2916)",#00d3ff
